address,Private Service Line Material,Public Service Line Material
7410 S YATES BLVD,NOT LEAD,SUSPECTED LEAD
1456 N LEAVITT ST,NOT LEAD,SUSPECTED LEAD
4901 N MCVICKER AVE,NOT LEAD,SUSPECTED LEAD
3421 N AVERS AVE,NOT LEAD,SUSPECTED LEAD
741 N WELLS ST,NOT LEAD,NOT LEAD
7110 S PARNELL AVE,NOT LEAD,LEAD
7110 S PARNELL AVE,NOT LEAD,LEAD
5415 W BYRON ST,NOT LEAD,NOT LEAD
7526 N ROGERS AVE,NOT LEAD,SUSPECTED LEAD
7526 N ROGERS AVE,NOT LEAD,SUSPECTED LEAD
3941 W AINSLIE ST UNIT,SUSPECTED LEAD,SUSPECTED LEAD
2700 68 W GRAND AVE,NOT LEAD,NOT LEAD
4622 N PAULINA ST,SUSPECTED LEAD,SUSPECTED LEAD
437 57 W BELMONT AVE,SUSPECTED LEAD,SUSPECTED LEAD
1549 51 W CHICAGO AVE,SUSPECTED LEAD,SUSPECTED LEAD
7651 59 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
5750 N ST LOUIS AVE,SUSPECTED LEAD,SUSPECTED LEAD
41 E OAK ST,GALVANIZED REQUIRING REPLACEMENT,GALVANIZED REQUIRING REPLACEMENT
51 E OAK ST,SUSPECTED LEAD,SUSPECTED LEAD
2907 W DIVISION ST,LEAD,LEAD
2743 49 N HAMPDEN CT,SUSPECTED LEAD,SUSPECTED LEAD
2857 59 S SPAULDING AVE,NOT LEAD,NOT LEAD
3145 N RACINE AVE,NOT LEAD,NOT LEAD
3250 W ADAMS ST,NOT LEAD,GALVANIZED REQUIRING REPLACEMENT
2743 49 N HAMPDEN CT,NOT LEAD,NOT LEAD
2945 N KENOSHA AVE,NOT LEAD,NOT LEAD
2945 N KENOSHA AVE,NOT LEAD,NOT LEAD
333 S STATE ST,SUSPECTED LEAD,SUSPECTED LEAD
2025 S ALLPORT ST,SUSPECTED LEAD,SUSPECTED LEAD
5025 N LARAMIE AVE,NOT LEAD,NOT LEAD
5025 N LARAMIE AVE,NOT LEAD,NOT LEAD
6467 73 N NORTHWEST HWY,SUSPECTED LEAD,SUSPECTED LEAD
6467 73 N NORTHWEST HWY,SUSPECTED LEAD,SUSPECTED LEAD
5148 W WINNEMAC AVE,NOT LEAD,NOT LEAD
3604 16 W 59TH ST,SUSPECTED LEAD,SUSPECTED LEAD
6155 S KEATING AVE,SUSPECTED LEAD,SUSPECTED LEAD
6155 S KEATING AVE,SUSPECTED LEAD,SUSPECTED LEAD
6049 S KNOX AVE,SUSPECTED LEAD,SUSPECTED LEAD
6049 S KNOX AVE,SUSPECTED LEAD,SUSPECTED LEAD
3141 43 W 63RD ST,SUSPECTED LEAD,SUSPECTED LEAD
3141 43 W 63RD ST,SUSPECTED LEAD,SUSPECTED LEAD
6400 S KEDZIE AVE,SUSPECTED LEAD,SUSPECTED LEAD
6400 S KEDZIE AVE,SUSPECTED LEAD,SUSPECTED LEAD
3140 42 W 59TH ST,SUSPECTED LEAD,SUSPECTED LEAD
5954 58 S FRANCISCO AVE,SUSPECTED LEAD,SUSPECTED LEAD
5954 58 S FRANCISCO AVE,SUSPECTED LEAD,SUSPECTED LEAD
2432 38 W 59TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2432 38 W 59TH ST,SUSPECTED LEAD,SUSPECTED LEAD
5654 S WASHTENAW AVE,SUSPECTED LEAD,SUSPECTED LEAD
6001 15 S CALIFORNIA AVE,SUSPECTED LEAD,SUSPECTED LEAD
6001 15 S CALIFORNIA AVE,SUSPECTED LEAD,SUSPECTED LEAD
6423 25 S WASHTENAW AVE,SUSPECTED LEAD,SUSPECTED LEAD
6423 25 S WASHTENAW AVE,SUSPECTED LEAD,SUSPECTED LEAD
1613 E 87TH ST,SUSPECTED LEAD,SUSPECTED LEAD
1613 E 87TH ST,SUSPECTED LEAD,SUSPECTED LEAD
8001 S SOUTH CHICAGO AVE,SUSPECTED LEAD,SUSPECTED LEAD
8001 S SOUTH CHICAGO AVE,SUSPECTED LEAD,SUSPECTED LEAD
7910 S MUSKEGON AVE,SUSPECTED LEAD,SUSPECTED LEAD
7910 S MUSKEGON AVE,SUSPECTED LEAD,SUSPECTED LEAD
7910 S MUSKEGON AVE,SUSPECTED LEAD,SUSPECTED LEAD
2201 E 100TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2337 E 100TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2337 E 100TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2340 E 99TH ST,SUSPECTED LEAD,SUSPECTED LEAD
7935 45 S EXCHANGE AVE,SUSPECTED LEAD,SUSPECTED LEAD
8237 S SOUTH SHORE DR,SUSPECTED LEAD,SUSPECTED LEAD
10827 S EWING AVE,SUSPECTED LEAD,SUSPECTED LEAD
10833 S EWING AVE,SUSPECTED LEAD,SUSPECTED LEAD
3216 E 92ND ST,SUSPECTED LEAD,SUSPECTED LEAD
9247 S COMMERCIAL AVE,SUSPECTED LEAD,SUSPECTED LEAD
3216 E 92ND ST,SUSPECTED LEAD,SUSPECTED LEAD
9247 S COMMERCIAL AVE,SUSPECTED LEAD,SUSPECTED LEAD
