Address,Private Service Line Material,Public Service Line Material
11244 S PARNELL AVE,NOT LEAD,SUSPECTED LEAD
4201 N PAULINA ST THOUSE H,NOT LEAD,SUSPECTED LEAD
10626 S WALLACE ST,LEAD,SUSPECTED LEAD
4065 W 58TH ST UNIT,SUSPECTED LEAD,SUSPECTED LEAD
8234 S LOOMIS BLVD,LEAD,SUSPECTED LEAD
10314 S DR MARTIN LUTHER KING JR DR,NOT LEAD,SUSPECTED LEAD
12133 S HARVARD AVE,NOT LEAD,SUSPECTED LEAD
9615 17 S AVENUE M,SUSPECTED LEAD,SUSPECTED LEAD
7451 S EUCLID PKWY,NOT LEAD,SUSPECTED LEAD
3455 W 61ST ST,NOT LEAD,SUSPECTED LEAD
10131 S LA SALLE ST,NOT LEAD,SUSPECTED LEAD
1036 N ST LOUIS AVE,NOT LEAD,SUSPECTED LEAD
10210 S ABERDEEN ST,NOT LEAD,SUSPECTED LEAD
1937 S ST LOUIS AVE,SUSPECTED LEAD,SUSPECTED LEAD
5942 S LOOMIS BLVD,NOT LEAD,SUSPECTED LEAD
11036 38 S INDIANA AVE,NOT LEAD,SUSPECTED LEAD
5934 36 W DIVERSEY AVE,NOT LEAD,SUSPECTED LEAD
4441 49 W FULLERTON AVE,SUSPECTED LEAD,LEAD
234 36 E 115TH ST,SUSPECTED LEAD,LEAD
2519 21 W 79TH ST,SUSPECTED LEAD,SUSPECTED LEAD
4808 S DREXEL BLVD UNIT A,SUSPECTED LEAD,SUSPECTED LEAD
440 42 E 71ST ST,SUSPECTED LEAD,LEAD
2547 W LITHUANIAN PLAZA CT,NOT LEAD,NOT LEAD
5450 S LOOMIS BLVD,SUSPECTED LEAD,SUSPECTED LEAD
2600 04 E 83RD ST,NOT LEAD,SUSPECTED LEAD
2550 52 E 79TH ST,NOT LEAD,SUSPECTED LEAD
2525 W PETERSON AVE,SUSPECTED LEAD,SUSPECTED LEAD
5942 46 W DIVISION ST,SUSPECTED LEAD,SUSPECTED LEAD
7911 S LOOMIS BLVD,NOT LEAD,SUSPECTED LEAD
5733 45 W DIVISION ST,SUSPECTED LEAD,SUSPECTED LEAD
5855 59 W DIVERSEY AVE,SUSPECTED LEAD,SUSPECTED LEAD
1343 S KOLIN AVE,NOT LEAD,NOT LEAD
647 49 N PINE AVE,SUSPECTED LEAD,SUSPECTED LEAD
8236 S COTTAGE GROVE AVE,SUSPECTED LEAD,SUSPECTED LEAD
7440 42 S INDIANA AVE,NOT LEAD,SUSPECTED LEAD
610 12 N PINE AVE,SUSPECTED LEAD,SUSPECTED LEAD
3139 45 N FRANCISCO AVE,NOT LEAD,LEAD
545 49 W 119TH ST,SUSPECTED LEAD,SUSPECTED LEAD
7636 S DR MARTIN LUTHER KING JR DR,NOT LEAD,SUSPECTED LEAD
4119 S MICHIGAN AVE,NOT LEAD,LEAD
1619 21 W BALMORAL AVE,NOT LEAD,SUSPECTED LEAD
9717 S LA SALLE ST,NOT LEAD,NOT LEAD
1235 37 W GRANVILLE AVE,NOT LEAD,SUSPECTED LEAD
1212 W DRAPER ST,NOT LEAD,SUSPECTED LEAD
7720 S COLES AVE THOUSE F,SUSPECTED LEAD,SUSPECTED LEAD
2047 E 93RD ST UNIT 2,NOT LEAD,LEAD
9634 S LA SALLE ST,NOT LEAD,SUSPECTED LEAD
42 E BURTON PL,NOT LEAD,SUSPECTED LEAD
7707 W FOREST PRESERVE AVE,NOT LEAD,LEAD
3001 07 W ARMITAGE AVE,NOT LEAD,NOT LEAD
9557 S WOODLAWN AVE,NOT LEAD,SUSPECTED LEAD
1354 56 W GREENLEAF AVE,NOT LEAD,NOT LEAD
6317 N MOZART ST,NOT LEAD,SUSPECTED LEAD
1844 46 W BELLE PLAINE AVE,SUSPECTED LEAD,SUSPECTED LEAD
1850 52 W CORNELIA AVE,NOT LEAD,NOT LEAD
10315 S WESTERN AVE,NOT LEAD,SUSPECTED LEAD
1357 61 W GREENLEAF AVE,NOT LEAD,SUSPECTED LEAD
2204 06 N KEDZIE BLVD,NOT LEAD,SUSPECTED LEAD
2401 N AUSTIN AVE,NOT LEAD,SUSPECTED LEAD
1200 00 E 95TH ST,NOT LEAD,SUSPECTED LEAD
8140 42 S MARYLAND AVE,NOT LEAD,SUSPECTED LEAD
8209 13 S ELLIS AVE,NOT LEAD,SUSPECTED LEAD
7232 36 S MERRILL AVE,NOT LEAD,SUSPECTED LEAD
10114 S DR MARTIN LUTHER KING JR DR,NOT LEAD,SUSPECTED LEAD
4706 08 W WASHINGTON BLVD,NOT LEAD,SUSPECTED LEAD
1561 63 W BIRCHWOOD AVE,NOT LEAD,NOT LEAD
2659 N WAYNE AVE UNIT D,NOT LEAD,SUSPECTED LEAD
2659 N WAYNE AVE UNIT C,NOT LEAD,SUSPECTED LEAD
4905 15 N GLENWOOD AVE,NOT LEAD,NOT LEAD
2579 N MILWAUKEE AVE,NOT LEAD,NOT LEAD
3530 58 W IRVING PARK RD,NOT LEAD,NOT LEAD
